scenario_id,release_id,primary_class,secondary_modifiers,ambiguity_level,expected_decision
P5V2-001,P5-REL-2.1.0,CLEAN_GO,partial_missing_fields|narrative_softness,medium,GO
P5V2-002,P5-REL-2.1.1,CLEAR_HOLD_SINGLE_GATE,partial_missing_fields|timestamp_skew|narrative_softness,high,HOLD
P5V2-003,P5-REL-2.1.2,CLEAR_HOLD_SINGLE_GATE,partial_missing_fields,low,HOLD
P5V2-004,P5-REL-2.1.3,CLEAR_HOLD_SINGLE_GATE,partial_missing_fields|narrative_softness,medium,HOLD
P5V2-005,P5-REL-2.1.4,CLEAR_HOLD_SINGLE_GATE,partial_missing_fields,low,HOLD
P5V2-006,P5-REL-2.1.5,CONDITIONAL_GOVERNANCE_HOLD,alias_drift|partial_missing_fields|narrative_softness,high,HOLD
P5V2-007,P5-REL-2.1.0,CONFLICTED_EVIDENCE_HOLD,partial_missing_fields|timestamp_skew|thread_fragmentation|narrative_softness,high,HOLD
P5V2-008,P5-REL-2.1.1,MIXED_NON_BLOCKING_GO,partial_missing_fields|narrative_softness,medium,GO
P5V2-009,P5-REL-2.1.2,CLEAR_HOLD_MULTI_GATE,partial_missing_fields|timestamp_skew|narrative_softness,medium,HOLD
P5V2-010,P5-REL-2.1.3,TRACEABILITY_GAP_HOLD,partial_missing_fields|narrative_softness,high,GO
P5V2-011,P5-REL-2.1.4,MIXED_NON_BLOCKING_GO,partial_missing_fields|narrative_softness,medium,GO
P5V2-012,P5-REL-2.1.5,MIXED_NON_BLOCKING_GO,alias_drift|partial_missing_fields|timestamp_skew|narrative_softness,medium,GO
P5V2-013,P5-REL-2.2.0,TRACEABILITY_GAP_HOLD,alias_drift|partial_missing_fields|timestamp_skew|narrative_softness,high,GO
P5V2-014,P5-REL-2.2.1,CONDITIONAL_GOVERNANCE_HOLD,partial_missing_fields,medium,HOLD
P5V2-015,P5-REL-2.2.2,TRACEABILITY_GAP_HOLD,partial_missing_fields|thread_fragmentation|narrative_softness,medium,GO
P5V2-016,P5-REL-2.2.3,CONFLICTED_EVIDENCE_HOLD,partial_missing_fields|timestamp_skew|narrative_softness,medium,HOLD
P5V2-017,P5-REL-2.2.4,TRACEABILITY_GAP_HOLD,alias_drift|partial_missing_fields|narrative_softness,medium,GO
P5V2-018,P5-REL-2.2.5,CLEAN_GO,partial_missing_fields,low,GO
