scenario_id,release_id,requirement_id,description,priority,module,mandatory_for_phase5,domain,traceability_tag,module_alias_raw
P5V2-001,P5-REL-2.1.0,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-001,P5-REL-2.1.0,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-001,P5-REL-2.1.0,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-001,P5-REL-2.1.0,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,MUST,Audit Ledger
P5V2-001,P5-REL-2.1.0,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-002,P5-REL-2.1.1,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-002,P5-REL-2.1.1,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,,MUST,Txn Engine
P5V2-002,P5-REL-2.1.1,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,,MUST,Reconciliation Flow
P5V2-002,P5-REL-2.1.1,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,MUST,Audit Ledger
P5V2-002,P5-REL-2.1.1,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-003,P5-REL-2.1.2,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,,MUST,Authentication Core
P5V2-003,P5-REL-2.1.2,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-003,P5-REL-2.1.2,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-003,P5-REL-2.1.2,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,MUST,Audit Ledger
P5V2-003,P5-REL-2.1.2,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-004,P5-REL-2.1.3,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-004,P5-REL-2.1.3,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-004,P5-REL-2.1.3,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-004,P5-REL-2.1.3,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,MUST,Audit Ledger
P5V2-004,P5-REL-2.1.3,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-005,P5-REL-2.1.4,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-005,P5-REL-2.1.4,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,,MUST,Txn Engine
P5V2-005,P5-REL-2.1.4,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-005,P5-REL-2.1.4,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,MUST,Audit Ledger
P5V2-005,P5-REL-2.1.4,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-006,P5-REL-2.1.5,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-006,P5-REL-2.1.5,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-006,P5-REL-2.1.5,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,R-ORD-03,Reconciliation Flow
P5V2-006,P5-REL-2.1.5,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,R-AUD-04,Audit Ledger
P5V2-006,P5-REL-2.1.5,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-007,P5-REL-2.1.0,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-007,P5-REL-2.1.0,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-007,P5-REL-2.1.0,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-007,P5-REL-2.1.0,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,MUST,Audit Ledger
P5V2-007,P5-REL-2.1.0,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-008,P5-REL-2.1.1,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-008,P5-REL-2.1.1,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-008,P5-REL-2.1.1,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-008,P5-REL-2.1.1,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,MUST,Audit Ledger
P5V2-008,P5-REL-2.1.1,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-009,P5-REL-2.1.2,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,,MUST,Authentication Core
P5V2-009,P5-REL-2.1.2,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-009,P5-REL-2.1.2,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-009,P5-REL-2.1.2,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,MUST,Audit Ledger
P5V2-009,P5-REL-2.1.2,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-010,P5-REL-2.1.3,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-010,P5-REL-2.1.3,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-010,P5-REL-2.1.3,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-010,P5-REL-2.1.3,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,compliance,MUST,Audit Ledger
P5V2-010,P5-REL-2.1.3,REQ-P5-005,Optional reporting UI smoke check.,LOW,reporting-ui,false,ui,OPTIONAL,BI Frontend
P5V2-011,P5-REL-2.1.4,REQ-P5-001,Mandatory user authentication regression check.,HIGH,auth-service,true,security,MUST,Authentication Core
P5V2-011,P5-REL-2.1.4,REQ-P5-002,Mandatory payment transaction idempotency validation.,HIGH,payment-core,true,transaction,MUST,Txn Engine
P5V2-011,P5-REL-2.1.4,REQ-P5-003,Mandatory order reconciliation pipeline validation.,MEDIUM,order-pipeline,true,fulfillment,MUST,Reconciliation Flow
P5V2-011,P5-REL-2.1.4,REQ-P5-004,Mandatory audit-log persistence verification.,MEDIUM,audit-store,true,,MUST,Audit Ledger
