scenario_id,release_id,defect_id,title,severity,status,owner
P5-001,P5-REL-1.1.0,DF-P5-001,Minor tooltip formatting issue,LOW,CLOSED,dev.ui
P5-002,P5-REL-1.1.1,DF-P5-002,Minor tooltip formatting issue,LOW,CLOSED,dev.ui
P5-003,P5-REL-1.1.2,DF-P5-003,Minor tooltip formatting issue,LOW,CLOSED,dev.ui
P5-004,P5-REL-1.1.3,DF-P5-004,Minor tooltip formatting issue,LOW,CLOSED,dev.ui
P5-005,P5-REL-1.1.0,DF-P5-005,Minor tooltip formatting issue,LOW,CLOSED,dev.ui
P5-005,P5-REL-1.1.0,DF-P5-CRIT-005,Critical deadlock in payment commit path,CRITICAL,OPEN,dev.payment
P5-006,P5-REL-1.1.1,DF-P5-006,Minor tooltip formatting issue,LOW,CLOSED,dev.ui
P5-007,P5-REL-1.1.2,DF-P5-007,Minor tooltip formatting issue,LOW,CLOSED,dev.ui
P5-008,P5-REL-1.1.3,DF-P5-008,Minor tooltip formatting issue,LOW,CLOSED,dev.ui
P5-008,P5-REL-1.1.3,DF-P5-NONBLOCK-008,Known UI spacing issue,LOW,OPEN,dev.ui
P5-009,P5-REL-1.1.0,DF-P5-009,Minor tooltip formatting issue,LOW,CLOSED,dev.ui
P5-009,P5-REL-1.1.0,DF-P5-HIGH-009,High severity timeout in auth-token propagation,HIGH,OPEN,dev.auth
P5-010,P5-REL-1.1.1,DF-P5-010,Minor tooltip formatting issue,LOW,CLOSED,dev.ui
P5-011,P5-REL-1.1.2,DF-P5-011,Minor tooltip formatting issue,LOW,CLOSED,dev.ui
P5-011,P5-REL-1.1.2,DF-P5-CRIT-011,Critical deadlock in payment commit path,CRITICAL,OPEN,dev.payment
P5-012,P5-REL-1.1.3,DF-P5-012,Minor tooltip formatting issue,LOW,CLOSED,dev.ui
P5-013,P5-REL-1.2.0,DF-P5-013,Minor tooltip formatting issue,LOW,CLOSED,dev.ui
P5-014,P5-REL-1.2.1,DF-P5-014,Minor tooltip formatting issue,LOW,CLOSED,dev.ui
P5-015,P5-REL-1.2.2,DF-P5-015,Minor tooltip formatting issue,LOW,CLOSED,dev.ui
P5-016,P5-REL-1.2.3,DF-P5-016,Minor tooltip formatting issue,LOW,CLOSED,dev.ui
