scenario_id,release_id,defect_id,title,severity,status,owner,source_system,closure_note
P5V2-001,P5-REL-2.1.0,DF-P5-001,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-002,P5-REL-2.1.1,DF-P5-002,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-003,P5-REL-2.1.2,DF-P5-003,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-004,P5-REL-2.1.3,DF-P5-004,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-005,P5-REL-2.1.4,DF-P5-005,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-005,P5-REL-2.1.4,DF-P5-CRIT-005,Critical deadlock in payment commit path,CRITICAL,OPEN,dev.payment,jira,
P5V2-006,P5-REL-2.1.5,DF-P5-006,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-007,P5-REL-2.1.0,DF-P5-007,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-008,P5-REL-2.1.1,DF-P5-008,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-008,P5-REL-2.1.1,DF-P5-LOWUI-008,Known low-priority UI spacing issue,LOW,OPEN,dev.ui,jira,
P5V2-009,P5-REL-2.1.2,DF-P5-009,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-009,P5-REL-2.1.2,DF-P5-HIGH-009,High severity timeout in auth-token propagation,HIGH,OPEN,dev.auth,jira,
P5V2-010,P5-REL-2.1.3,DF-P5-010,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-011,P5-REL-2.1.4,DF-P5-011,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-011,P5-REL-2.1.4,DF-P5-LOWUI-011,Known low-priority UI spacing issue,LOW,OPEN,dev.ui,jira,
P5V2-012,P5-REL-2.1.5,DF-P5-012,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-012,P5-REL-2.1.5,DF-P5-LOWUI-012,Known low-priority UI spacing issue,LOW,OPEN,dev.ui,jira,
P5V2-013,P5-REL-2.2.0,DF-P5-013,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-014,P5-REL-2.2.1,DF-P5-014,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-015,P5-REL-2.2.2,DF-P5-015,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-016,P5-REL-2.2.3,DF-P5-016,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-017,P5-REL-2.2.4,DF-P5-017,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-018,P5-REL-2.2.5,DF-P5-018,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-019,P5-REL-2.2.0,DF-P5-019,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,
P5V2-019,P5-REL-2.2.0,DF-P5-LOWUI-019,Known low-priority UI spacing issue,LOW,OPEN,dev.ui,jira,
P5V2-020,P5-REL-2.2.1,DF-P5-020,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-021,P5-REL-2.2.2,DF-P5-021,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-021,P5-REL-2.2.2,DF-P5-CRIT-021,Critical deadlock in payment commit path,CRITICAL,OPEN,dev.payment,jira,
P5V2-022,P5-REL-2.2.3,DF-P5-022,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-023,P5-REL-2.2.4,DF-P5-023,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-023,P5-REL-2.2.4,DF-P5-LOWUI-023,Known low-priority UI spacing issue,LOW,OPEN,dev.ui,jira,
P5V2-024,P5-REL-2.2.5,DF-P5-024,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-024,P5-REL-2.2.5,DF-P5-HIGH-024,High severity timeout in auth-token propagation,HIGH,OPEN,dev.auth,jira,
P5V2-025,P5-REL-2.3.0,DF-P5-025,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-026,P5-REL-2.3.1,DF-P5-026,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-027,P5-REL-2.3.2,DF-P5-027,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-027,P5-REL-2.3.2,DF-P5-HIGH-027,High severity timeout in auth-token propagation,HIGH,OPEN,dev.auth,jira,
P5V2-028,P5-REL-2.3.3,DF-P5-028,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,
P5V2-029,P5-REL-2.3.4,DF-P5-029,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-030,P5-REL-2.3.5,DF-P5-030,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-030,P5-REL-2.3.5,DF-P5-CRIT-030,Critical deadlock in payment commit path,CRITICAL,OPEN,dev.payment,jira,
P5V2-031,P5-REL-2.3.0,DF-P5-031,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,
P5V2-032,P5-REL-2.3.1,DF-P5-032,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-033,P5-REL-2.3.2,DF-P5-033,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-034,P5-REL-2.3.3,DF-P5-034,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-035,P5-REL-2.3.4,DF-P5-035,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-036,P5-REL-2.3.5,DF-P5-036,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-037,P5-REL-2.4.0,DF-P5-037,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-037,P5-REL-2.4.0,DF-P5-CRIT-037,Critical deadlock in payment commit path,CRITICAL,OPEN,dev.payment,jira,
P5V2-038,P5-REL-2.4.1,DF-P5-038,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-039,P5-REL-2.4.2,DF-P5-039,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-040,P5-REL-2.4.3,DF-P5-040,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-041,P5-REL-2.4.4,DF-P5-041,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,
P5V2-042,P5-REL-2.4.5,DF-P5-042,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-043,P5-REL-2.4.0,DF-P5-043,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,
P5V2-044,P5-REL-2.4.1,DF-P5-044,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-044,P5-REL-2.4.1,DF-P5-HIGH-044,High severity timeout in auth-token propagation,HIGH,OPEN,dev.auth,jira,
P5V2-045,P5-REL-2.4.2,DF-P5-045,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
P5V2-046,P5-REL-2.4.3,DF-P5-046,Minor tooltip formatting issue,LOW,CLOSED,dev.ui,jira,fixed in UI patch
